,Unnamed: 0,domain,scanned url,total,positives,duration[VT],rlength,resolution,server,URL after redirects,Final URL,suspicious_tld,length,fake_tld,brand,pop_keywords,similar,is_idn,minus,num_subdomains,unshorten url
129,278,bit.ly,https://bit.ly/2GkGmh7,83,1,0,3301,67.199.248.11,,https://seekingalpha.com/news/3610314-astrazeneca-starts-u-s-final-stage-trial-of-covidminus-19-vaccine?utm_source=smartnews.com&utm_medium=referral,https://seekingalpha.com/news/3610314-astrazeneca-starts-u-s-final-stage-trial-of-covidminus-19-vaccine?utm_source=smartnews.com&utm_medium=referral,N,148,0,0,0,0,N,11,1,https://seekingalpha.com/news/3610314-astrazeneca-starts-u-s-final-stage-trial-of-covidminus-19-vaccine?utm_source=smartnews.com&utm_medium=referral
130,286,shar.es,https://shar.es/abZWxn,83,2,0,11932,18.221.60.199,nginx,http://www.todanoticia.com/85221/buscan-30-mil-voluntarios-estados/,http://www.todanoticia.com/85221/buscan-30-mil-voluntarios-estados/,N,67,0,0,0,0,N,4,1,http://www.todanoticia.com/85221/buscan-30-mil-voluntarios-estados/
131,344,ow.ly,http://ow.ly/Itvg50Bea9F,83,1,0,32716,54.67.120.65,Kestrel,https://careers.astrazeneca.com/job/royston/senior-data-and-analytics-engineer/7684/15803758,https://careers.astrazeneca.com/job/royston/senior-data-and-analytics-engineer/7684/15803758,N,92,0,0,0,0,N,4,1,https://careers.astrazeneca.com/job/royston/senior-data-and-analytics-engineer/7684/15803758
132,387,cutt.ly,https://cutt.ly/hfxzeEB,83,1,0,304,104.22.1.232,,https://m.facebook.com/112639733519315/posts/309965157120104/,https://m.facebook.com/112639733519315/posts/309965157120104/,N,61,0,1,0,1,N,0,1,https://m.facebook.com/112639733519315/posts/309965157120104/
133,415,lnkd.in,https://lnkd.in/dnh-3Fq%20https:/lnkd.in/dW4tjUW,83,1,0,37156,108.174.10.10,,https://www.linkedin.com/feed/update/urn:li:share:6706899502860668929,https://www.linkedin.com/feed/update/urn:li:share:6706899502860668929,N,69,0,0,0,1,N,0,1,https://www.linkedin.com/feed/update/urn:li:share:6706899502860668929
134,444,ow.ly,http://ow.ly/IRwJp%20http:/dlvr.it/Rfqpsw,83,1,0,1161,54.67.62.204,,None,http://ow.ly/IRwJp%20http:/dlvr.it/Rfqpsw,N,41,0,0,0,0,N,0,1,http://ow.ly/IRwJp%20http:/dlvr.it/Rfqpsw
135,457,bit.ly,https://bit.ly/3jvXb6W,83,1,0,217229,67.199.248.11,,https://business.facebook.com/409448779258925/posts/1357103711160089/?_fb_noscript=1,https://business.facebook.com/409448779258925/posts/1357103711160089/?_fb_noscript=1,N,84,0,1,0,1,N,0,1,https://business.facebook.com/409448779258925/posts/1357103711160089/?_fb_noscript=1
136,494,ht.ly,http://ht.ly/cT9s30r7yWw,83,2,0,37769,54.67.57.56,Apache,https://www.mexnewz.mx/vacuna-de-astrazeneca-ingresa-en-estudio-de-etapa-avanzada-en-eu/,https://www.mexnewz.mx/vacuna-de-astrazeneca-ingresa-en-estudio-de-etapa-avanzada-en-eu/,N,88,0,0,0,0,N,10,1,https://www.mexnewz.mx/vacuna-de-astrazeneca-ingresa-en-estudio-de-etapa-avanzada-en-eu/
137,539,lnkd.in,https://lnkd.in/gZqhaSs%20https:/lnkd.in/gR5huvB,83,1,0,36642,108.174.10.10,,https://www.linkedin.com/feed/update/urn:li:share:6706957508000530432,https://www.linkedin.com/feed/update/urn:li:share:6706957508000530432,N,69,0,0,0,1,N,0,1,https://www.linkedin.com/feed/update/urn:li:share:6706957508000530432
138,605,bityl.co,https://bityl.co/3FCi,83,1,98,170994,151.101.65.195,Sucuri/Cloudproxy,https://cronica.uno/que-tan-avanzada-esta-la-carrera-por-conseguir-una-vacuna-contra-covid-19/,https://cronica.uno/que-tan-avanzada-esta-la-carrera-por-conseguir-una-vacuna-contra-covid-19/,N,94,0,0,0,0,N,12,0,https://cronica.uno/que-tan-avanzada-esta-la-carrera-por-conseguir-una-vacuna-contra-covid-19/
