resolved_domain,text,created_at,author_id,twtid
wimkin.com,1,1,1,1
wkyc.com,1,1,1,1
wix.to,1,1,1,1
wipo.int,1,1,1,1
wikiqube.net,1,1,1,1
wibw.com,1,1,1,1
whyy.org,1,1,1,1
whale.to,1,1,1,1
wgal.com,1,1,1,1
westernjournalism.com,1,1,1,1
westernjournal.com,1,1,1,1
tvedestrandsposten.no,1,1,1,1
tv2.no,1,1,1,1
surge.sh,1,1,1,1
summit.news,1,1,1,1
sumatome.com,1,1,1,1
sukl.cz,1,1,1,1
sudouest.fr,1,1,1,1
subsplash.com,1,1,1,1
strib.mn,1,1,1,1
streamlabs.com,1,1,1,1
stratford-herald.com,1,1,1,1
strategika.fr,1,1,1,1
str.sg,1,1,1,1
stopthecrime.net,1,1,1,1
steam.media,1,1,1,1
stcouponcodes.com,1,1,1,1
suttercounty.org,1,1,1,1
taibaweb.com,1,1,1,1
tagesspiegel.de,1,1,1,1
t1p.de,1,1,1,1
syr.us,1,1,1,1
state.mn.us,1,1,1,1
stat.gov.pl,1,1,1,1
started.law,1,1,1,1
shz.de,1,1,1,1
showme.co.za,1,1,1,1
shinyapps.io,1,1,1,1
sfmic.com,1,1,1,1
sentinellecitoyenne.fr,1,1,1,1
sendfilessecurely.com,1,1,1,1
senat.fr,1,1,1,1
seetvnews.com,1,1,1,1
seethetruth.club,1,1,1,1
sdnl.nl,1,1,1,1
sciencewithdrdoug.com,1,1,1,1
sciencesetavenir.fr,1,1,1,1
sciencemediacentre.org,1,1,1,1
savingtherebublic.org,1,1,1,1
slovanskenoviny.sk,1,1,1,1
sltrib.com,1,1,1,1
squarespace-cdn.com,1,1,1,1
springer.com,1,1,1,1
spinabifidaassociation.org,1,1,1,1
spectrumnews.org,1,1,1,1
soberaniavenezuela.org,1,1,1,1
sources.in,1,1,1,1
source.it,1,1,1,1
socialbearing.com,1,1,1,1
social.media,1,1,1,1
techtimes.com,1,1,1,1
tellitlikeitistalkshow.com,1,1,1,1
theshannonjoy.com,1,1,1,1
tnc.news,1,1,1,1
tlgur.com,1,1,1,1
tinyl.io,1,1,1,1
timomalum.com,1,1,1,1
timetofreeamerica.com,1,1,1,1
timesnownews.com,1,1,1,1
time.you,1,1,1,1
tidsskriftet.no,1,1,1,1
thinkinghousewife.com,1,1,1,1
thewrap.com,1,1,1,1
thewire.in,1,1,1,1
thestandard.com.hk,1,1,1,1
thespoof.com,1,1,1,1
tsargrad.tv,1,1,1,1
truthunmasked.org,1,1,1,1
trts.io,1,1,1,1
trial.gov,1,1,1,1
thesovereignarchives.com,1,1,1,1
tenpennyresearchlibrary.com,1,1,1,1
theepochtim.es,1,1,1,1
thedenverchannel.com,1,1,1,1
thebulgariantimes.com,1,1,1,1
that.gov.au,1,1,1,1
tghn.org,1,1,1,1
theiowastandard.com,1,1,1,1
thescienceisin.com,1,1,1,1
qoo.ly,1,1,1,1
thereport.be,1,1,1,1
there.one,1,1,1,1
theplantstrongclub.org,1,1,1,1
thepharmacynewsletter.com,1,1,1,1
thenewsminute.com,1,1,1,1
thename.org,1,1,1,1
themadtruther.com,1,1,1,1
them.you,1,1,1,1
macrotrends.net,1,1,1,1
pya.jp,1,1,1,1
electricsense.com,1,1,1,1
docdro.id,1,1,1,1
docbastard.net,1,1,1,1
dkr.dk,1,1,1,1
distraction.news,1,1,1,1
disinfobservatory.org,1,1,1,1
discovermagazine.com,1,1,1,1
digitaltrends.com,1,1,1,1
dgpi.de,1,1,1,1
dfly.no,1,1,1,1
desmoinesregister.com,1,1,1,1
desireestokkel.nl,1,1,1,1
depopulation.news,1,1,1,1
demorgen.be,1,1,1,1
defense.org,1,1,1,1
defence.org,1,1,1,1
doctorsforcovidethics.org,1,1,1,1
dolu.google,1,1,1,1
e-stat.go.jp,1,1,1,1
eksisozluk.com,1,1,1,1
ecronicon.com,1,1,1,1
economictimes.com,1,1,1,1
easyupload.io,1,1,1,1
eastonspectator.com,1,1,1,1
dysautonomiainternational.org,1,1,1,1
donga.com,1,1,1,1
drummelhund.ch,1,1,1,1
drugs.com,1,1,1,1
